pid,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
12,234,13,13250,90840,29020,GD,O,7740,47,NA,3,1,7,3,3,1,1,5,1,0,2,1,1,NA,NA,2,2,3,2,1,2,0,1141,2,1,4,3,NA,NA,COUNTRY CLUB HILLS,60478,5893,0.06567113524520618,0.8796877651450874,0.04768369251654505,0.00695740709316137,0,16691,Country Club Hills,0,0,1,0,0,0,SCHOOL DISTRICT 160,COMMUNITY HIGH SCHOOL  228,25.307,62602,FALSE,TRUE,TRUE
13,203,70,70080,92940,36850,NA,O,4095,99,NA,2,1,6,3,1,1,2,5,2,1,1,1,1,NA,NA,2,2,1,2,2,2,0,1392,2,1,1,3,NA,NA,CHICAGO,60649,3569,0.01120762118240403,0.9604931353320256,0,0.01877276548052675,0.01905295601008685,14000,Chicago,0,0,1,0,0,0,BOUCHET,CHICAGO VOCATIONAL HS,6.88386464826358,18432,FALSE,TRUE,TRUE
14,203,20,20080,173660,37490,NA,W,4166,68,NA,2,1,5,3,1,3,1,5,1,0,3,1,0,NA,NA,2,2,3,1,2,2,0,1068,2,1,1,NA,NA,NA,ELMWOOD PARK,60707,6466,0.5850603154964429,0.06155273739560779,0.03959171048561707,0.3137952366223322,0,23724,Elmwood Park,0,0,1,0,0,0,SCHOOL DISTRICT UNIT  401,SCHOOL DISTRICT UNIT  401,10.001,52871,FALSE,TRUE,TRUE
15,234,72,72282,93790,27900,NA,W,3720,55,NA,2,1,8,4,3,1,1,5,2,0,2,2,0,NA,NA,2,2,3,2,2,2,0,1097,2,1,4,3,NA,NA,CHICAGO,60628,1498,0.01468624833110814,0.9626168224299064,0.02269692923898531,0,0,14000,Chicago,0,0,1,0,0,0,GILLESPIE,HARLAN HS,6.908,39527,FALSE,TRUE,TRUE
16,278,73,73084,948790,168320,NA,T,2630,6,NA,2,2,6,3,1,1,1,5,1,1,3,2,0,2,1,2,2,3,2,1,2,0,2233,2,1,2,NA,NA,NA,CHICAGO,60613,3779,0.8110611272823498,0.00767398782746758,0.04154538237629002,0.09605715797830114,0.08017994178354063,14000,Chicago,0,0,1,0,0,0,BLAINE,LAKE VIEW HS,6.89,122708,FALSE,TRUE,TRUE
17,295,21,21151,288250,15350,NA,W,1365,19,NA,3,1,6,3,1,3,1,5,1,1,3,2,1,2,2,2,2,3,2,1,1,0,2106,2,1,2,NA,NA,NA,WILLOW SPRINGS,60480,7653,0.773030184241474,0.00849340128054357,0.05370442963543708,0.13354240167254672,0.05880047040376323,82049,Willow Springs,0,0,1,0,0,0,SCHOOL DISTRICT 107,LYONS TOWNSHIP HIGH SCHOOL  204,8.305,106317,FALSE,TRUE,TRUE
18,234,23,23011,400140,206240,NA,T,12132,64,NA,2,1,9,4,3,1,1,5,1,1,3,2,1,2,2,2,2,3,2,1,2,0,2196,2,1,4,NA,NA,NA,GLENCOE,60022,6421,0.8736956860302134,0.02055754555365208,0.03099205731194518,0.06930384675284224,0.01090172870269428,29652,Glencoe,0,0,4,0,0,0,SCH DISTRICT 35,NEW TRIER TOWNSHIP HIGH SCHOOL  203,8.481,194803,FALSE,TRUE,TRUE
19,278,71,71440,327530,56610,NA,T,4529,44,NA,2,1,7,4,2,3,1,5,1,0,3,2,0,NA,NA,2,2,2,2,1,2,0,2154,2,1,2,NA,NA,NA,CHICAGO,60631,6186,0.8013255738764953,0.00695118008406078,0.05124474620109925,0.10168121564823795,0.05690268347882315,14000,Chicago,1,0,1,0,0,0,EDISON PARK,TAFT HS,6.884772382397572,83197,FALSE,TRUE,TRUE
20,234,75,75010,228540,53940,NA,W,3720,55,NA,2,1,6,3,3,1,1,5,1,0,3,1,1,2,NA,2,2,7,NA,NA,NA,0,1392,2,1,4,NA,NA,NA,CHICAGO,60645,6739,0.4733640005935599,0.1584804867190978,0.17599050304199437,0.16174506603353614,0.06083988722362368,14000,Chicago,0,0,1,0,0,0,ROGERS,MATHER HS,6.857803738317757,66831,FALSE,FALSE,TRUE
21,203,23,23044,507510,120960,NA,W,6720,120,NA,4,1,7,3,3,3,2,5,2,2,2,2,0,2,NA,2,2,1,1,2,2,0,1655,2,1,5,1,NA,1,WINNETKA,60093,5279,0.9143777230536086,0.00303087706004925,0.02292100776662246,0.03371850729304793,0.04110627012691797,82530,Winnetka,0,0,1,0,0,0,SCH DISTRICT 36,NEW TRIER TOWNSHIP HIGH SCHOOL  203,7.997,211042,FALSE,TRUE,TRUE
22,203,25,25430,133280,120240,NA,W,10020,66,NA,3,2,6,3,3,3,1,5,2,0,3,1,1,NA,NA,2,2,1,1,1,2,0,1206,2,1,1,NA,NA,NA,GLENVIEW,60025,4128,0.47141472868217055,0.09835271317829455,0.2126937984496124,0.1996124031007752,0.03585271317829457,29938,Glenview,0,0,1,0,0,0,SCHOOL DISTRICT C C 34,NORTHFIELD TOWNSHIP HIGH SCHOOL  225,7.226,50293,FALSE,TRUE,TRUE
23,203,71,71010,185540,48190,NA,T,3570,95,NA,1,1,8,3,1,1,1,5,1,0,1,3,0,2,2,2,2,3,1,2,2,0,1296,2,1,5,1,NA,NA,CHICAGO,60646,5367,0.6625675423886715,0.01024781069498789,0.08384572386808273,0.22023476802683065,0.04620831004285448,14000,Chicago,0,0,1,0,0,0,HITCH,TAFT HS,6.894,79122,FALSE,TRUE,TRUE
24,203,77,77150,307870,61380,NA,W,2154,125,NA,3,1,7,3,1,3,1,2,2,0,2,1,1,2,NA,2,2,3,1,2,2,0,1485,2,1,5,3,NA,1,CHICAGO,60618,3095,0.5105008077544426,0.02261712439418416,0.04491114701130856,0.407108239095315,0.02972536348949919,14000,Chicago,0,0,4,1,0,0,VON LINNE,SCHURZ HS,6.915,72366,FALSE,TRUE,TRUE
25,278,30,30040,310690,71810,NA,W,11490,23,NA,3,1,8,4,1,1,1,5,1,1,3,2,1,2,NA,2,2,5,3,1,1,0,3026,2,1,2,NA,NA,NA,HICKORY HILLS,60457,4123,0.8452583070579675,0.00945913170021828,0.01528013582342954,0.12442396313364056,0.00557846228474411,34514,Hickory Hills,0,0,1,0,0,0,SCHOOL DISTRICT  117,CONSOLIDATED HIGH SCHOOL  230,12.137,99306,FALSE,TRUE,TRUE
26,202,22,22030,152710,42900,NA,W,6864,68,NA,3,1,4,2,2,3,2,5,2,0,3,1,0,2,NA,2,2,2,1,2,2,0,999,2,1,1,NA,NA,NA,DES PLAINES,60016,4486,0.748773963441819,0.00802496656263932,0.04079358002674989,0.16897012929112795,0.06219349086045474,19642,Des Plaines,0,0,1,0,0,0,SCHOOL DISTRICT C C  62,MAINE TOWNSHIP HIGH SCHOOL  207,9.229,84974,FALSE,TRUE,TRUE
27,205,13,13050,77290,22680,AV,W,7560,107,NA,1,1,7,3,1,3,1,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,1452,2,1,2,NA,NA,NA,POSEN,60469,7440,0.2221774193548387,0.1495967741935484,0.0200268817204301,0.5876344086021505,0.04112903225806452,61314,Posen,0,0,1,0,0,0,SCHOOL DISTRICT  143 1/2,COMMUNITY HIGH SCHOOL  228,13.223,46156,FALSE,TRUE,TRUE
28,202,13,13240,70100,21560,NA,W,7187,50,NA,1,1,4,2,2,3,1,5,2,0,3,1,0,2,NA,2,2,3,1,2,2,0,960,2,1,1,NA,NA,NA,COUNTRY CLUB HILLS,60478,5257,0.0831272588929047,0.8889100247289329,0,0.0199733688415446,0.00798934753661784,16691,Country Club Hills,0,0,1,0,0,0,SCHOOL DISTRICT  144,COMMUNITY HIGH SCHOOL  228,24.62,48975,FALSE,TRUE,TRUE
29,203,71,71120,135450,54810,NA,W,3780,94,NA,1,1,4,3,2,3,1,5,2,0,3,1,0,NA,NA,2,2,1,1,2,2,0,1152,2,1,1,NA,NA,NA,CHICAGO,60641,3763,0.21419080520861017,0.0241828328461334,0.03800159447249535,0.7084772787669412,0.03029497741163965,14000,Chicago,0,0,1,0,0,0,SCAMMON,SCHURZ HS,6.919,41131,FALSE,TRUE,TRUE
30,205,71,71082,250170,103110,NA,W,4687,74,NA,2,1,5,2,1,3,1,5,1,0,3,1,0,2,2,2,2,3,1,2,2,0,960,2,1,2,NA,NA,NA,CHICAGO,60618,3684,0.4769272529858849,0.03800217155266015,0.08523344191096634,0.3707926167209555,0.0491313789359392,14000,Chicago,0,0,6,1,0,0,VON LINNE,SCHURZ HS,6.915,70234,FALSE,TRUE,TRUE
31,203,70,70241,150160,42180,NA,T,4687,42,NA,2,1,6,3,1,3,1,5,2,0,3,2,0,2,NA,2,2,7,NA,NA,NA,0,1404,2,1,1,NA,NA,NA,CHICAGO,60617,6479,0.38601636054946753,0.05432937181663837,0,0.5564130267016515,0.00648248186448526,14000,Chicago,0,0,1,0,0,0,"WASHINGTON, G",WASHINGTON HS,6.908,50637,FALSE,FALSE,TRUE
32,203,21,21042,230020,20250,NA,W,3240,70,NA,2,1,5,3,1,1,1,5,1,0,1,2,0,2,2,2,2,3,1,2,2,0,1443,2,1,5,1,NA,NA,BROOKFIELD,60513,2804,0.6390870185449358,0.06419400855920114,0.01783166904422254,0.27639087018544933,0.00499286733238231,08576,Brookfield,0,0,3,1,0,0,SCHOOL DISTRICT  103,LYONS TOWNSHIP HIGH SCHOOL  204,12.621,75639,FALSE,TRUE,TRUE
33,295,71,71120,297520,21500,NA,W,1483,21,NA,1,1,7,2,3,1,1,5,1,1,3,1,1,2,2,2,2,3,1,1,1,0,1626,2,1,3,NA,NA,NA,CHICAGO,60641,2500,0.2604,0.0036,0.0884,0.6248,0.0456,14000,Chicago,0,0,1,0,0,0,"GRAY, W",SCHURZ HS,6.913,54737,FALSE,TRUE,TRUE
34,202,32,32120,9630,25160,NA,W,7744,68,NA,3,1,5,3,2,3,1,5,2,0,3,1,0,NA,NA,2,2,1,1,2,2,0,949,2,1,1,NA,NA,NA,PARK FOREST,60466,4957,0.28706879160782733,0.5844260641517046,0,0.0841234617712326,0.08533387129312084,57732,Park Forest,0,0,1,0,0,0,SCHOOL DISTRICT 163,RICH TOWNSHIP HIGH SCHOOL  227,37.326,55570,FALSE,TRUE,TRUE
35,203,71,71200,191210,46500,NA,W,3720,80,NA,3,1,6,2,1,3,1,5,1,0,1,1,1,2,2,2,2,3,1,2,2,0,1795,2,1,5,1,NA,NA,CHICAGO,60634,4193,0.3040782256141188,0,0.07035535416169807,0.6212735511566897,0.00429286906749344,14000,Chicago,0,0,1,0,0,0,LYON,STEINMETZ COLLEGE PREP HS,6.894,61383,FALSE,TRUE,TRUE
36,202,24,24081,166840,48640,NA,W,5120,67,NA,3,1,5,2,1,3,1,5,2,0,1,2,0,2,2,2,2,3,1,2,2,0,900,2,1,5,1,NA,NA,SKOKIE,60076,6261,0.4302827024436991,0.08385241974125539,0.3347708033860406,0.09998402811052548,0.10222009263695896,70122,Skokie,0,0,1,0,0,0,SCHOOL DISTRICT 73,COMMUNITY HIGH SCHOOL  219,10.149,68815,FALSE,TRUE,TRUE
37,203,71,71082,228060,68750,NA,W,3125,109,NA,1,1,6,3,3,3,1,5,1,0,1,2,1,2,2,2,2,3,1,2,2,0,1714,2,1,5,1,NA,NA,CHICAGO,60618,3529,0.47747237177670726,0.01756871635024086,0.04817228676678946,0.429016718617172,0.05553981297818079,14000,Chicago,0,0,6,0,0,0,BATEMAN,ROOSEVELT HS,6.901516611295682,68902,FALSE,TRUE,TRUE
38,278,77,77170,818770,109200,NA,W,2400,21,NA,2,1,7,3,1,3,1,5,1,1,3,2,1,2,2,2,2,3,1,2,2,0,2240,2,1,2,NA,NA,NA,CHICAGO,60647,3289,0.7506840985101855,0.01185770750988142,0.02493159014898145,0.1465491030708422,0.1295226512617817,14000,Chicago,0,0,3,1,0,0,PULASKI,CLEMENTE HS,6.915,106840,FALSE,TRUE,TRUE
39,207,77,77091,99740,36980,AX,W,3148,14,NA,3,1,4,3,1,3,1,5,1,0,3,2,0,2,2,2,2,7,NA,NA,NA,0,1573,2,1,2,NA,NA,NA,CHICAGO,60623,3746,0,0.9965296316070476,0.00347036839295248,0,0,14000,Chicago,0,0,1,0,0,0,"HUGHES, C",INFINITY HS,6.913,28226,FALSE,FALSE,TRUE
40,203,70,70100,62860,46870,NA,W,4687,95,NA,2,1,10,5,1,1,2,5,2,0,2,2,0,NA,NA,2,2,3,1,2,2,0,1394,2,1,1,1,NA,1,CHICAGO,60617,3483,0.01579098478323284,0.9127189204708585,0,0.06402526557565318,0.00746482917025552,14000,Chicago,0,0,1,0,0,0,HEROES,BOWEN HS,6.88386464826358,27391,FALSE,TRUE,TRUE
41,278,29,29013,377000,41250,NA,W,15000,52,NA,3,1,9,5,1,3,1,5,2,1,3,2,1,2,NA,2,2,3,3,1,2,0,2516,2,1,2,NA,NA,NA,BARRINGTON,60010,7375,0.6627796610169492,0.02725423728813559,0.11877966101694916,0.15213559322033898,0.07471186440677965,03844,Barrington,0,0,1,0,0,0,COMMUNITY UNIT SCHOOL DISTRICT 220,COMMUNITY UNIT SCHOOL DISTRICT 220,7.317,67773,FALSE,TRUE,TRUE
42,204,39,39010,197490,50000,NA,W,10000,29,NA,3,1,6,3,3,3,1,5,1,1,3,1,1,2,NA,2,2,3,2,1,2,0,1955,2,1,1,NA,NA,NA,OAK LAWN,60453,6372,0.75,0.03782172002510985,0.01365348399246704,0.1911487758945386,0.00737602008788449,54820,Oak Lawn,0,0,1,0,0,0,SCHOOL DISTRICT  122,COMMUNITY HIGH SCHOOL  229,11.134,41902,FALSE,TRUE,TRUE
43,278,71,71420,469150,88870,NA,W,7110,15,NA,2,1,7,4,1,3,1,5,1,1,3,2,1,2,1,2,2,3,2,2,2,0,2913,2,1,2,NA,NA,NA,CHICAGO,60631,6186,0.8013255738764953,0.00695118008406078,0.05124474620109925,0.10168121564823795,0.05690268347882315,14000,Chicago,1,0,1,0,0,0,NORWOOD PARK,TAFT HS,6.884772382397572,83197,FALSE,TRUE,TRUE
44,205,73,73031,353490,143750,NA,W,3125,117,NA,1,1,7,4,1,3,1,5,2,0,1,2,0,NA,NA,2,2,3,1,2,2,0,1752,2,1,2,3,NA,NA,CHICAGO,60640,3061,0.6246324730480235,0.11858869650441033,0.1110748121528912,0.1156484808885985,0.0558640967004247,14000,Chicago,0,0,1,0,0,0,PEIRCE,SENN HS,6.89,95958,FALSE,TRUE,TRUE
45,207,35,35011,224620,43750,NA,W,8750,51,NA,1,1,6,3,2,3,1,5,1,0,3,1,1,2,NA,2,2,3,1,1,1,0,1792,2,1,2,NA,NA,NA,HOFFMAN ESTATES,60169,3227,0.6780291292221878,0,0.15990083669042454,0.12240471025720484,0.07499225286643942,35411,Hoffman Estates,0,0,1,0,0,0,SCHOOL DISTRICT C C 54,PALATINE TOWNSHIP HIGH SCHOOL  211,10.04,76959,FALSE,TRUE,TRUE
46,206,10,10012,767280,45170,NA,T,8604,70,NA,2,1,9,4,1,3,1,5,1,0,3,3,0,2,2,2,2,1,2,1,2,0,2973,2,1,2,NA,NA,NA,BARRINGTON,60010,7280,0.7271978021978022,0.00357142857142857,0.18543956043956045,0.07486263736263736,0.01785714285714285,03844,Barrington,0,0,1,0,0,0,COMMUNITY UNIT SCHOOL DISTRICT 220,COMMUNITY UNIT SCHOOL DISTRICT 220,7.216,122931,FALSE,TRUE,TRUE
47,205,70,70080,99720,44640,NA,W,4961,132,NA,4,1,8,4,1,3,1,5,2,2,3,1,1,2,2,2,2,7,NA,NA,NA,0,1806,2,1,2,NA,NA,1,CHICAGO,60649,6979,0.07078377991116205,0.8856569709127382,0.00300902708124373,0.01131967330563117,0.05731480154749964,14000,Chicago,0,0,1,0,0,1,POWELL,CHICAGO VOCATIONAL HS,6.88386464826358,28952,FALSE,FALSE,TRUE
48,209,73,73031,1140140,690000,NA,W,15000,114,NA,2,1,12,6,1,3,2,5,2,4,2,3,3,2,2,2,2,3,1,2,2,0,7308,2,1,2,1,NA,NA,CHICAGO,60660,2703,0.5253422123566408,0.1601923788383278,0.13466518682944875,0.0924898261191269,0.10580836108028116,14000,Chicago,0,0,1,0,0,0,SWIFT,SENN HS,6.89,45086,TRUE,TRUE,TRUE
49,203,18,18020,126190,27740,NA,W,7926,63,NA,1,1,5,3,4,3,1,5,1,0,3,1,0,2,NA,2,2,3,1,2,2,0,1060,2,1,1,NA,NA,NA,STREAMWOOD,60107,5601,0.48044991965720407,0.01553294054633101,0.03195857882520978,0.4642028209248349,0.01571148009284056,73157,Streamwood,0,0,1,0,0,0,SCHOOL DISTRICT 46,SCHOOL DISTRICT 46,10.958,64310,FALSE,TRUE,TRUE
50,203,72,72110,99280,26560,NA,W,3125,61,NA,2,6,5,2,1,3,1,5,1,0,3,1,0,2,2,2,2,3,1,2,2,0,1026,2,1,1,NA,NA,NA,CHICAGO,60629,5290,0.04234404536862004,0.01172022684310018,0.00623818525519848,0.9396975425330812,0,14000,Chicago,0,0,1,0,0,0,SANDOVAL,SOLORIO HS,6.873317191283292,46495,FALSE,TRUE,TRUE
51,211,70,70080,94940,58680,NA,W,6520,132,3,2,1,15,7,1,3,2,5,2,0,2,3,0,2,2,2,2,4,2,2,2,0,2572,2,2,2,3,NA,1,CHICAGO,60649,4961,0.02842168917556944,0.902439024390244,0,0.05623866156016932,0.01290062487401733,14000,Chicago,0,0,1,0,0,0,PARKSIDE,HYDE PARK HS,6.88386464826358,22945,FALSE,TRUE,TRUE
52,202,31,31020,122320,25300,NA,W,4600,65,NA,2,1,5,3,1,3,1,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,989,2,1,1,NA,NA,NA,BELLWOOD,60104,5020,0.04880478087649402,0.7386454183266933,7.968127490039841e-4,0.20916334661354585,0.00318725099601593,04975,Bellwood,0,1,1,0,0,0,SCHOOL DISTRICT 88,PROVISO TOWNSHIP HIGH SCHOOL 209,19.52,52200,FALSE,TRUE,TRUE
53,203,71,71071,217740,42180,NA,T,3125,62,NA,2,1,5,3,1,3,1,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,1049,2,1,1,NA,NA,NA,CHICAGO,60630,4264,0.3093339587242026,0.04268292682926829,0.16580675422138838,0.4552063789868668,0.05393996247654784,14000,Chicago,0,0,1,0,0,0,HAUGAN,ROOSEVELT HS,6.901516611295682,62264,FALSE,TRUE,TRUE
54,211,77,77132,405130,94240,NA,T,2772,24,3,2,1,14,8,3,2,1,5,1,0,3,3,0,2,NA,2,2,3,2,2,2,0,3561,2,2,2,NA,NA,NA,CHICAGO,60612,1600,0.286875,0.205,0.194375,0.285625,0.05625,14000,Chicago,0,0,3,0,0,0,IRVING,MANLEY HS,6.913,54837,FALSE,TRUE,TRUE
55,205,23,23041,376860,126000,NA,W,7000,102,NA,1,1,8,3,1,3,1,5,1,1,3,2,1,2,2,2,2,4,1,2,2,0,1906,2,1,2,NA,NA,NA,GLENCOE,60022,6421,0.8736956860302134,0.02055754555365208,0.03099205731194518,0.06930384675284224,0.01090172870269428,29652,Glencoe,0,0,6,1,0,0,SCH DISTRICT 35,NEW TRIER TOWNSHIP HIGH SCHOOL  203,8.481,194803,FALSE,TRUE,TRUE
56,203,70,70111,85060,29760,NA,W,3720,58,NA,2,1,6,3,1,3,1,5,2,0,2,1,1,NA,NA,2,2,3,1,2,2,0,1166,2,1,1,3,NA,NA,CHICAGO,60619,2340,0.00683760683760683,0.9478632478632478,0,0.01538461538461538,0.05726495726495726,14000,Chicago,0,0,1,0,0,0,GILLESPIE,HARLAN HS,6.908,55667,FALSE,TRUE,TRUE
57,278,25,25052,381480,153450,NA,W,11804,52,NA,3,1,9,5,3,3,1,5,1,0,3,2,1,NA,NA,2,2,3,1,1,2,0,2758,2,1,2,NA,NA,NA,NORTHBROOK,60062,5600,0.8053571428571429,7.142857142857143e-4,0.14625,0.02553571428571428,0.04428571428571428,53481,Northbrook,0,0,1,0,0,0,SCHOOL DISTRICT 27,NORTHFIELD TOWNSHIP HIGH SCHOOL  225,7.599,138992,FALSE,TRUE,TRUE
58,202,72,72200,96540,35000,NA,W,4375,74,NA,2,1,6,3,1,1,1,5,2,0,2,1,0,NA,NA,2,2,3,1,2,2,0,960,2,1,5,3,NA,NA,CHICAGO,60652,6643,0.0490742134577751,0.6105675146771037,0.01249435496010838,0.2992623814541623,0.0555471925334939,14000,Chicago,0,0,1,0,0,0,CARROLL,BOGAN HS,6.949,68241,FALSE,TRUE,TRUE
59,278,12,12064,160040,66000,NA,W,13200,24,NA,3,1,7,3,1,3,1,5,1,1,3,2,1,2,NA,2,2,3,3,1,1,0,2404,2,1,2,NA,NA,NA,LANSING,60438,6522,0.4207298374731677,0.4260962894817541,0.00919963201471941,0.11974854339159768,0.03603189205765102,42028,Lansing,0,0,1,0,0,1,SCHOOL DISTRICT  167,BLOOM TOWNSHIP HIGH SCHOOL  206,16.464,51485,FALSE,TRUE,TRUE
