pid,assessed_value
758,280575
759,154992
760,138639
761,132362
762,798263
763,170090
764,317887
765,105751
766,32731
767,772416
768,114010
769,89021
770,220383
771,97004
772,35355
773,408082
774,202256
775,108424
776,192675
777,269288
778,346169
779,439146
780,530364
781,383591
782,58315
783,472304
784,408307
785,119132
786,388367
787,528289
788,1250945
789,36828
790,187050
791,144085
792,442346
793,302633
794,114208
795,44398
796,365600
797,301338
798,174232
799,709640
800,266240
801,299823
802,306008
803,113482
804,210462
805,39754
806,344190
807,75644
808,529511
809,917185
810,195880
811,10000
812,856561
813,203564
814,1054226
815,338349
816,686851
817,270921
818,627600
819,377223
820,117254
821,97230
822,624022
823,519355
824,315085
825,602444
826,354756
827,142943
828,192578
829,206118
830,225524
831,141001
832,225172
833,176672
834,170747
835,62659
836,94189
837,156384
838,137360
839,193535
840,188553
841,377087
842,79797
843,313282
844,651960
845,296736
846,128924
847,30957
848,269935
849,133420
850,37461
851,204877
852,165327
853,274569
854,220937
855,150864
856,70395
857,749979
858,900572
859,1159748
860,1016320
861,316318
862,91780
863,144611
864,264284
865,426975
866,141565
867,100450
868,147610
869,180580
870,261382
871,343067
872,98239
873,84617
874,66817
875,384313
876,122847
877,414068
878,232404
879,294408
880,301937
881,68443
882,238615
883,259073
884,131988
885,266339
886,509318
887,254939
888,193535
889,1439141
890,112841
891,193364
892,99163
893,285963
894,105806
895,524393
896,382145
897,766312
898,328135
899,670270
900,253946
901,241826
902,260189
903,210560
904,140299
905,102472
906,1011857
907,113004
908,1525330
909,262459
910,240588
911,1249745
912,268958
913,771366
914,608934
915,561629
916,326202
917,118801
918,1144981
919,209502
920,346772
921,155384
922,652963
923,375400
924,17010
925,147602
926,648051
927,202944
928,304867
929,222274
930,251923
931,1049975
932,734362
933,847696
934,413261
935,119528
936,254484
937,676044
938,146568
939,54744
940,45410
941,110169
942,271794
943,257075
944,278618
945,417773
946,323835
947,267790
948,299620
949,248358
950,158258
951,648398
952,74443
953,192715
954,453553
955,295470
956,270608
957,93090
958,241751
959,378322
960,707308
961,636766
962,263338
963,261789
964,188835
965,206016
966,193973
967,87532
968,276776
969,40719
970,108267
971,382002
972,636135
973,183243
974,178593
975,362057
976,111176
977,159451
978,614732
979,159571
980,172653
981,113181
982,224319
983,390760
984,76285
985,69931
986,986123
987,206253
988,179661
989,148327
990,81592
991,261160
992,103102
993,124716
994,251695
995,226796
996,83228
997,393420
998,54446
999,198855
1000,71962
1001,174504
1002,575372
1003,241826
1004,210813
1005,107979
1006,298390
1007,37706
1008,294749
1009,621283
1010,308348
1011,121392
1012,331249
1013,736472
1014,311235
1015,338151
1016,403830
1017,239373
1018,114730
1019,83571
1020,131629
1021,214314
1022,358506
1023,484539
1024,956520
1025,107985
1026,265485
1027,165384
1028,488425
1029,303626
1030,357204
1031,380655
1032,857019
1033,124183
1034,196712
1035,150564
1036,120212
1037,1813121
1038,305788
1039,81856
1040,358013
1041,203889
1042,168053
1043,1328054
1044,446615
1045,635477
1046,360938
1047,187908
1048,357569
1049,127575
1050,123976
1051,292248
1052,49732
1053,39036
1054,116822
1055,33398
1056,242491
1057,356128
1058,39110
1059,271429
1060,172181
1061,42921
1062,197810
1063,436001
1064,740078
1065,225149
1066,585355
1067,557048
1068,51645
1069,213927
1070,83305
1071,192294
1072,301615
1073,188947
1074,416285
1075,179216
1076,1274437
1077,306726
1078,318203
1079,83378
1080,346349
1081,505575
1082,60337
1083,289378
1084,311565
1085,249250
1086,80052
1087,170049
1088,182695
1089,159039
1090,355579
1091,210441
1092,108662
1093,126998
1094,215967
1095,152482
1096,446621
1097,329826
1098,609471
1099,203313
1100,168621
1101,217900
1102,285743
1103,289058
1104,992939
1105,424395
1106,205329
1107,46641
1108,389217
1109,78258
1110,86618
1111,1512052
1112,284808
1113,262663
1114,50654
1115,210844
1116,409764
1117,278930
1118,177522
1119,242436
1120,343403
1121,562985
1122,484003
1123,62123
1124,146408
1125,454499
1126,438034
1127,255610
1128,260913
1129,319231
1130,167241
1131,210767
1132,444741
1133,306457
1134,253454
1135,69930
1136,338587
1137,186561
1138,1095383
1139,137263
1140,117756
1141,362044
1142,423312
1143,604713
1144,69949
1145,555706
1146,114404
1147,65737
1148,116546
1149,576651
1150,162602
1151,131028
1152,116258
1153,180217
1154,179950
1155,188618
1156,275093
1157,848005
1158,308335
1159,224777
1160,210518
1161,255242
1162,112673
1163,105490
1164,190852
1165,358800
1166,256635
1167,504622
1168,354904
1169,441780
1170,598531
1171,295127
1172,697347
1173,214843
1174,223952
1175,458602
1176,848747
1177,44059
1178,797475
1179,210940
1180,196592
1181,420898
1182,590196
1183,471776
1184,397666
1185,251954
1186,244504
1187,214891
1188,280644
1189,235019
1190,731978
1191,468227
1192,118097
1193,240892
1194,36150
1195,134846
1196,359326
1197,104311
1198,130291
1199,161936
1200,33494
1201,418719
1202,263339
1203,470747
1204,203341
1205,143130
1206,312554
1207,102295
1208,125574
1209,414327
1210,188240
1211,407742
1212,148143
1213,223850
1214,240598
1215,195858
1216,386279
1217,274584
1218,155298
1219,50504
1220,205101
1221,361883
1222,215635
1223,248254
1224,294856
1225,515217
1226,812801
1227,292357
1228,1774934
1229,315159
1230,423323
1231,124351
1232,341231
1233,224073
1234,437762
1235,334633
1236,50297
1237,273328
1238,410480
1239,73397
1240,78794
1241,583321
1242,89903
1243,250462
1244,231631
1245,120557
1246,885176
1247,269403
1248,257613
1249,341762
1250,284860
1251,429228
1252,121757
1253,265282
1254,322196
1255,57264
1256,93094
1257,39066
1258,46604
1259,156877
1260,178570
1261,10000
1262,280650
1263,325352
1264,796787
1265,658152
1266,261042
1267,31894
1268,462954
1269,150973
1270,319158
1271,304237
1272,630603
1273,236609
1274,452753
1275,280101
1276,680520
1277,125035
1278,345709
1279,242634
1280,68818
1281,254182
1282,218841
1283,799378
1284,246252
1285,344834
1286,1602553
1287,216855
1288,286643
1289,144533
1290,632271
1291,332657
1292,590779
1293,37821
1294,242101
1295,96083
1296,481635
1297,333362
1298,190142
1299,100579
1300,216300
1301,286877
1302,178309
1303,468313
1304,380456
1305,1544707
1306,69130
1307,327812
1308,274268
1309,442576
1310,377482
1311,238231
1312,84830
1313,147133
1314,230862
1315,248689
1316,269442
1317,430267
1318,222063
1319,141774
1320,453162
1321,193028
1322,458481
1323,304017
1324,1362392
1325,217622
1326,304414
1327,98456
1328,329666
1329,250808
1330,255374
1331,254780
1332,507828
1333,555165
1334,103416
1335,206585
1336,362877
1337,488987
1338,370831
1339,344400
1340,151830
1341,185165
1342,1064315
1343,199921
1344,282958
1345,231173
1346,265381
1347,129913
1348,166687
1349,787802
1350,140668
1351,307903
1352,96151
1353,223105
1354,472927
1355,97095
1356,363179
1357,164088
1358,491864
1359,962886
1360,232258
1361,325711
1362,217896
1363,323915
1364,381672
1365,239391
1366,310428
1367,533250
1368,298722
1369,203211
1370,500222
1371,287998
1372,545229
1373,190551
1374,1174875
1375,182782
1376,121297
1377,273092
1378,311159
1379,59224
1380,326609
1381,158453
1382,54417
1383,561476
1384,385449
1385,480513
1386,219423
1387,232028
1388,363683
1389,335692
1390,10000
1391,713521
1392,69769
1393,124208
1394,413125
1395,88406
1396,10364
1397,238250
1398,392189
1399,240450
1400,261345
1401,406513
1402,257080
1403,265407
1404,281024
1405,295820
1406,299832
1407,317529
1408,308275
1409,108514
1410,47962
1411,96508
1412,316920
1413,287237
1414,173085
1415,353502
1416,194133
1417,187518
1418,138981
1419,534635
1420,168287
1421,181452
1422,139220
1423,191382
1424,149783
1425,180270
1426,112883
1427,218155
1428,284543
1429,193559
1430,158782
1431,96866
1432,453115
1433,335405
1434,60320
1435,211304
1436,244428
1437,508839
1438,1585239
1439,155103
1440,144465
1441,1032728
1442,103760
1443,61330
1444,127030
1445,1346097
1446,185369
1447,218279
1448,275404
1449,215315
1450,259320
1451,1081934
1452,286120
1453,241649
1454,93415
1455,209082
1456,193319
1457,505532
1458,358903
1459,42419
1460,140604
1461,149209
1462,106837
1463,433124
1464,200628
1465,984930
1466,312389
1467,194254
1468,198251
1469,31594
1470,152790
1471,442265
1472,99087
1473,270478
1474,144441
1475,139088
1476,239825
1477,649215
1478,313617
1479,514563
1480,512942
1481,241759
1482,52551
1483,201406
1484,248749
1485,291068
1486,206026
1487,140805
1488,1039229
1489,501317
1490,350838
1491,497328
1492,114514
1493,502357
1494,119575
1495,577343
1496,56474
1497,113083
1498,116530
1499,597987
1500,198289
1501,271870
1502,334468
1503,247043
1504,278978
1505,1106130
1506,263688
1507,128863
1508,78671
1509,399598
1510,357533
1511,507969
1512,2601717
1513,239299
1514,855413
1515,187047
1516,266192
1517,190982
1518,131680
1519,456980
1520,46995
1521,150112
1522,296932
1523,764223
1524,296183
1525,246274
1526,264034
1527,316005
1528,256280
1529,161716
1530,30221
1531,52253
1532,315653
1533,82176
1534,311619
1535,432448
1536,803838
1537,153076
1538,30235
1539,124136
1540,181749
1541,114059
1542,227455
1543,352203
1544,563837
1545,808041
1546,457663
1547,256135
1548,93299
1549,157008
1550,59340
1551,318079
1552,150134
1553,192832
1554,31959
1555,164818
1556,203519
1557,658458
1558,337576
1559,151758
1560,296700
1561,741384
1562,454770
1563,244551
1564,332110
1565,136026
1566,234352
1567,204961
1568,157123
1569,352306
1570,428752
1571,316835
1572,78459
1573,134800
1574,204457
1575,53415
1576,300586
1577,268964
1578,216546
1579,347741
1580,746690
1581,302099
1582,164179
1583,636557
1584,701522
1585,77486
1586,208093
1587,149084
1588,55431
1589,354160
1590,169574
1591,212652
1592,391200
1593,674875
1594,227866
1595,40575
1596,1068250
1597,165264
1598,293025
1599,162546
1600,127188
1601,92910
1602,167880
1603,163948
1604,185069
1605,220613
1606,175896
1607,959659
1608,230157
1609,314043
1610,115633
1611,98911
1612,284002
1613,182101
1614,81638
1615,786418
1616,100794
1617,171717
1618,336527
1619,85533
1620,135173
1621,214766
1622,578334
1623,167565
1624,240774
1625,327178
1626,231230
1627,152996
1628,225601
1629,412549
1630,260977
1631,308300
1632,95438
1633,313892
1634,548275
1635,138817
1636,456550
1637,59256
1638,234030
1639,255261
1640,583022
1641,189163
1642,351078
1643,124009
1644,137401
1645,510818
1646,257037
1647,10000
1648,275608
1649,216728
1650,142794
1651,49708
1652,232216
1653,267881
1654,245303
1655,257510
1656,194039
1657,676076
1658,194699
1659,295239
1660,257862
1661,473932
1662,350329
1663,47077
1664,667300
1665,165837
1666,1533478
1667,227628
1668,273217
1669,171738
1670,127417
1671,456773
1672,241619
1673,389560
1674,176269
1675,511786
1676,184273
1677,264263
1678,214719
1679,167347
1680,179423
1681,782090
1682,401981
1683,288171
1684,152422
1685,270565
1686,222907
1687,217139
1688,524377
1689,65358
1690,202064
1691,335687
1692,1034976
1693,124247
1694,352279
1695,42314
1696,107664
1697,177078
1698,296059
1699,211167
1700,347205
1701,555281
1702,333600
1703,332666
1704,190614
1705,42847
1706,282322
1707,107955
1708,693625
1709,498091
1710,362045
1711,132388
1712,251657
1713,426008
1714,198324
1715,334444
1716,207420
1717,220674
1718,217103
1719,438184
1720,377610
1721,432307
1722,385370
1723,315787
1724,248829
1725,204120
1726,255550
1727,265798
1728,241023
1729,214136
1730,95452
1731,174973
1732,111593
1733,175712
1734,577735
1735,265108
1736,108583
1737,45617
1738,212987
1739,262022
1740,161446
1741,393444
1742,226590
1743,150043
1744,83924
1745,307301
1746,404651
1747,23441
1748,197312
1749,275025
1750,159373
1751,446619
1752,226755
1753,51619
1754,288278
1755,336367
1756,52920
1757,727077
1758,719297
1759,383301
1760,381558
1761,180956
1762,226959
1763,192455
1764,66902
1765,223281
1766,669916
1767,455845
1768,171710
1769,261348
1770,841085
1771,132420
1772,590783
1773,298146
1774,23157
1775,59567
1776,310231
1777,183306
1778,482037
1779,224928
1780,181049
1781,246198
1782,1060443
1783,321440
1784,231213
1785,337369
1786,355194
1787,379943
1788,891351
1789,281231
1790,116974
1791,256501
1792,427413
1793,190950
1794,415685
1795,184926
1796,573303
1797,115201
1798,266526
1799,17053
1800,489587
1801,150956
1802,375890
1803,1969750
1804,262511
1805,258972
1806,408566
1807,352566
1808,394613
1809,478278
1810,200020
1811,47811
1812,125294
1813,108446
1814,194404
1815,132761
1816,139398
1817,195294
1818,868527
1819,196767
1820,357370
1821,562811
1822,116141
1823,73315
1824,208146
1825,165517
1826,283794
1827,25672
1828,510677
1829,638503
1830,1083359
1831,496796
1832,489435
1833,145792
1834,186861
1835,201787
1836,75802
1837,235183
1838,158395
1839,265041
1840,394454
1841,138545
1842,337098
1843,515602
1844,303597
1845,155356
1846,264739
1847,289725
1848,213678
1849,220562
1850,161321
1851,100316
1852,186443
1853,437086
1854,256741
1855,224408
1856,215220
1857,395221
1858,151932
1859,1176449
1860,322709
1861,276725
1862,240651
1863,210142
1864,127021
1865,254042
1866,195966
1867,250139
1868,322650
1869,304755
1870,243954
1871,225413
1872,212849
1873,1135798
1874,594989
1875,70909
1876,214777
1877,196386
1878,585808
1879,233864
1880,92068
1881,409071
1882,317625
1883,34387
1884,209870
1885,317650
1886,132459
1887,149826
1888,530147
1889,234762
1890,305640
1891,346904
1892,183136
1893,16113
1894,442522
1895,222801
1896,131265
1897,47366
1898,229377
1899,648033
1900,122348
1901,901831
1902,42450
1903,572181
1904,338214
1905,270565
1906,1034749
1907,55740
1908,202226
1909,284475
1910,1469562
1911,224066
1912,207361
1913,503525
1914,94175
1915,359830
1916,30756
1917,380404
1918,364485
1919,213443
1920,365846
1921,302435
1922,165007
1923,1049359
1924,352805
1925,990803
1926,54308
1927,234728
1928,189052
1929,101740
1930,379979
1931,46568
1932,299289
1933,79437
1934,233530
1935,118146
1936,183966
1937,231206
1938,1592122
1939,10000
1940,695973
1941,275918
1942,1412040
1943,198381
1944,432220
1945,247213
1946,437104
1947,309462
1948,483658
1949,266176
1950,276043
1951,332653
1952,357433
1953,61645
1954,595758
1955,157904
1956,77390
1957,21906
1958,50027
1959,59754
1960,175847
1961,485340
1962,159429
1963,39304
1964,201349
1965,121243
1966,103021
1967,279136
1968,152772
1969,241203
1970,382390
1971,274556
1972,384211
1973,230353
1974,388133
1975,248690
1976,369424
1977,163054
1978,1351753
1979,132969
1980,407640
1981,284613
1982,2158068
1983,341868
1984,172646
1985,149536
1986,303150
1987,423524
1988,227939
1989,562925
1990,78819
1991,124551
1992,225018
1993,210004
1994,1122600
1995,741598
1996,516681
1997,106326
1998,358733
1999,898519
2000,213733
2001,196863
2002,645105
2003,1218518
2004,261217
2005,148397
2006,486632
2007,439842
2008,289093
2009,216861
2010,531802
2011,216906
2012,606090
2013,312538
2014,286982
2015,63449
2016,233816
2017,669037
2018,412129
2019,132670
2020,454784
2021,207314
2022,214246
2023,181865
2024,835199
2025,435870
2026,288621
2027,190735
2028,1123058
2029,189936
2030,44323
2031,260759
2032,107228
2033,323303
2034,181113
2035,118426
2036,335637
2037,343742
2038,1214551
2039,179695
2040,718177
2041,550276
2042,344473
2043,1247894
2044,234825
2045,64794
2046,207527
2047,288822
2048,383806
2049,782126
2050,227078
2051,221509
2052,200812
2053,55888
2054,143521
2055,463678
2056,196608
2057,235898
2058,80810
2059,71352
2060,996041
2061,244353
2062,128653
2063,109556
2064,119909
2065,300074
2066,202836
2067,166366
2068,211097
2069,312207
2070,231343
2071,94218
2072,306048
2073,257522
2074,52921
2075,273276
2076,272622
2077,685520
2078,389252
2079,272200
2080,200742
2081,137397
2082,188136
2083,17015
2084,227473
2085,234573
2086,19104
2087,523850
2088,202641
2089,304188
2090,1509700
2091,581908
2092,653427
2093,1680500
2094,119653
2095,791473
2096,260496
2097,953440
2098,426762
2099,277259
2100,589731
2101,345884
2102,204025
2103,130218
2104,170800
2105,99812
2106,437174
2107,285556
2108,211635
2109,620060
2110,188018
2111,365495
2112,200843
2113,95660
2114,319134
2115,537660
2116,301188
2117,1622424
2118,272323
2119,224674
2120,450044
2121,47845
2122,222276
2123,137127
2124,345539
2125,149329
2126,166652
2127,1004559
2128,514088
2129,236254
2130,351450
2131,576019
2132,183126
2133,250523
2134,148314
2135,155846
2136,137465
2137,438978
2138,240874
2139,41703
2140,26943
2141,214720
2142,36152
2143,57598
2144,256653
2145,213204
2146,209195
2147,132419
2148,222067
2149,57416
2150,639828
2151,136078
2152,119808
2153,199055
2154,314221
2155,29341
2156,406429
2157,390648
2158,109956
2159,66171
2160,258222
2161,45030
2162,222315
2163,345916
2164,150454
2165,205648
2166,314750
2167,387315
2168,260611
2169,413920
2170,240611
2171,609679
2172,290027
2173,91108
2174,372434
2175,70944
2176,76542
2177,279931
2178,609333
2179,380131
2180,431204
2181,385619
2182,99894
2183,318669
2184,384009
2185,93594
2186,1033826
2187,542905
2188,267469
2189,341546
2190,28401
2191,231996
2192,210174
2193,199090
2194,260917
2195,615487
2196,221933
2197,305568
2198,917611
2199,122893
2200,111956
2201,334777
2202,166719
2203,529768
2204,188777
2205,107208
2206,269887
2207,419222
2208,692127
2209,129376
2210,279338
2211,266541
2212,573750
2213,148917
2214,42822
2215,173943
2216,454857
2217,1300384
2218,464554
2219,289917
2220,958195
2221,318186
2222,345792
2223,708752
2224,73212
2225,65999
2226,283772
2227,77238
2228,131159
2229,368638
2230,161790
2231,406174
2232,218100
2233,121821
2234,130451
2235,42082
2236,310826
2237,206537
2238,651344
2239,276050
2240,352105
2241,377015
2242,507973
2243,354219
2244,320107
2245,122307
2246,152079
2247,312809
2248,297426
2249,419286
2250,78411
2251,683477
2252,578599
2253,211326
2254,1397364
2255,168295
2256,74687
2257,520646
2258,245508
2259,103314
2260,179475
2261,292922
2262,157781
2263,898364
2264,369148
2265,327909
2266,385988
2267,344574
2268,334433
2269,173656
2270,318622
2271,833081
2272,478705
2273,303472
2274,206670
2275,325914
2276,347731
2277,159661
2278,420562
2279,302201
2280,572955
2281,196632
2282,562176
2283,301318
2284,138450
2285,302210
2286,142882
2287,336098
2288,319884
2289,323557
2290,148308
2291,686068
2292,1256880
2293,313087
2294,236563
2295,216470
2296,202574
2297,203840
2298,217936
2299,6713647
2300,254457
2301,72885
2302,212641
2303,685176
2304,226317
2305,18556
2306,216952
2307,306732
2308,284211
2309,205096
2310,302508
2311,160166
2312,350077
2313,928827
2314,223323
2315,98578
2316,167016
2317,318283
2318,244458
2319,497923
2320,225403
2321,274488
2322,215946
2323,219379
2324,390555
2325,281868
2326,150449
2327,209228
2328,69689
2329,771754
2330,398433
2331,269943
2332,43600
2333,108723
2334,411855
2335,77843
2336,428392
2337,208202
2338,123315
2339,358564
2340,346342
2341,152067
2342,118018
2343,199179
2344,183728
2345,129480
2346,142610
2347,378727
2348,242136
2349,328527
2350,227922
2351,264756
2352,337576
2353,320249
2354,92017
2355,102672
2356,53914
2357,250158
2358,146856
2359,202824
2360,409020
2361,325448
2362,258075
2363,353951
2364,173225
2365,201560
2366,127142
2367,64921
2368,305336
2369,260780
2370,181887
2371,75788
2372,447107
2373,453564
2374,139310
2375,301512
2376,282754
2377,181819
2378,501993
2379,400408
2380,622561
2381,120446
2382,28311
2383,915165
2384,251105
2385,364147
2386,145053
2387,264985
2388,450196
2389,520853
2390,188007
2391,254330
2392,55478
2393,226627
2394,277130
2395,223114
2396,78957
2397,211541
2398,361723
2399,62976
2400,443754
2401,80881
2402,128910
2403,143270
2404,560209
2405,196419
2406,184397
2407,331832
2408,955670
2409,161413
2410,185777
2411,240178
2412,119072
2413,17128
2414,129475
2415,118837
2416,296760
2417,979127
2418,1173158
2419,275251
2420,475776
2421,266831
2422,241330
2423,362526
2424,376135
2425,803208
2426,279294
2427,202050
2428,366782
2429,60279
2430,481432
2431,566272
2432,206834
2433,215213
2434,222605
2435,262438
2436,290320
2437,220542
2438,98638
2439,206416
2440,123087
2441,546279
2442,126287
2443,276478
2444,139175
2445,284511
2446,173948
2447,96419
2448,166928
2449,864881
2450,360377
2451,512568
2452,81391
2453,206068
2454,544210
2455,43282
2456,111261
2457,107862
2458,215291
2459,477903
2460,268808
2461,305602
2462,175790
2463,269239
2464,150911
2465,120147
2466,122512
2467,26038
2468,1132042
2469,149235
2470,562512
2471,162821
2472,209145
2473,464388
2474,227131
2475,678555
2476,414222
2477,345036
2478,218310
2479,156616
2480,12542
2481,162517
